# Iter057Z canonical R12 normalized coefficients
# preregistration=f1c04bbfdb7848ab79708beb902ccdb315fbd5ed
# implementation=a7f8198bdb41c5667ea47b2689731e238307fc94
# artifact_io_fix=b259568db5c37154043cb1b913393b82f93b2765
# scientific_payload_sha256=e62c84d0ad586322d588093ddbf067c0ad185478a042e3c877d24e7809122c6b
# classification=PASS_SCOPED_ITER057Z_DODECIC_EINSTEIN_SEED_COMPLETES_VACUUM_THROUGH_COORDINATE_DEGREE_TEN__HIGHER_SEED_ORDERS_REMAIN_OPEN
# matrix_shape=4316x4550
# rank_M=3436
# rank_augmented=3436
# left_nullity=880
# nullity=1114
# bianchi_rank=880
# compatibility_nonzero_count=0
a,b,t,x,y,z,R12_over_kappa6
3,3,2,0,0,10,220858752
3,3,2,0,2,8,-545422976
3,3,2,0,4,6,251480448
3,3,2,0,6,4,63859680
3,3,2,0,8,2,-336349440
3,3,2,2,0,8,-545422976
3,3,2,2,2,6,83826816
3,3,2,2,4,4,12771936
3,3,2,2,6,2,-48049920
3,3,2,4,0,6,251480448
3,3,2,4,2,4,12771936
3,3,2,4,4,2,-28829952
3,3,2,6,0,4,63859680
3,3,2,6,2,2,-48049920
3,3,2,8,0,2,-336349440
3,3,4,0,0,8,-206918784
3,3,4,0,2,6,-204830624
3,3,4,0,4,4,316289760
3,3,4,0,6,2,-353486160
3,3,4,2,0,6,-204830624
3,3,4,2,2,4,105429920
3,3,4,2,4,2,-70697232
3,3,4,4,0,4,316289760
3,3,4,4,2,2,-70697232
3,3,4,6,0,2,-353486160
3,3,6,0,0,6,-689582400
3,3,6,0,2,4,308734400
3,3,6,0,4,2,-213012000
3,3,6,2,0,4,308734400
3,3,6,2,2,2,-71004000
3,3,6,4,0,2,-213012000
3,3,8,0,0,4,172872000
3,3,8,0,2,2,-67228000
3,3,8,2,0,2,-67228000
